account,classification,total_pnl,avg_pnl,trades,win_rate,avg_fee,avg_size_usd
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Fear,99648.278349,1016.8191668265306,98,0.35714285714285715,0.5903703467244898,6300.139081632653
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Greed,12082.95,177.69044117647059,68,0.029411764705882353,1.445471294117647,9856.075588235295
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Neutral,74293.663505,1547.7846563541668,48,0.5208333333333334,0.5969882083333333,4225.696458333333
0x430f09841d65beb3f27765503d0f850b8bce7713,Extreme Fear,0.0,0.0,79,0.0,0.5570259873417721,5570.2651898734175
0x430f09841d65beb3f27765503d0f850b8bce7713,Extreme Greed,124284.948775,8285.663251666667,15,1.0,2.8999908666666667,8285.689333333334
0x430f09841d65beb3f27765503d0f850b8bce7713,Fear,5615.052102,23.692202962025316,237,0.10126582278481013,0.279440029535865,2535.9212236286917
0x430f09841d65beb3f27765503d0f850b8bce7713,Greed,227680.491734,294.922916753886,772,0.6373056994818653,0.4929142163212435,1521.842163212435
0x430f09841d65beb3f27765503d0f850b8bce7713,Neutral,58961.37973,440.0102964925373,134,0.5074626865671642,1.5876489029850747,4670.876492537313
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Extreme Fear,-14527.442518,-37.15458444501279,391,0.26342710997442453,0.1406394865473146,573.057442455243
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Extreme Greed,67275.949439,21.35744426634921,3150,0.34285714285714286,0.19134255535873015,542.1092603174603
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Fear,9999.484228,10.821952627705627,924,0.37662337662337664,0.1300221252444805,539.9225108225108
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Greed,36566.483324,10.761178141259565,3398,0.3507945850500294,0.11133699693643319,490.628555032372
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Neutral,4029.241688,6.142136719512195,656,0.43902439024390244,0.11381687994817072,474.19975609756096
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Extreme Fear,166696.399486,169.06328548275863,986,0.3093306288032454,1.9887338397565923,10589.94378296146
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Extreme Greed,20496.054182,122.73086336526946,167,0.3592814371257485,1.2281963473053892,5260.990299401197
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Fear,296781.722858,212.59435734813755,1396,0.40902578796561606,2.583910965616046,13057.168868194842
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Greed,96392.783186,84.9275622784141,1135,0.5955947136563877,1.2863388,5601.335788546256
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Neutral,97380.090931,144.91084959970237,672,0.7529761904761905,1.1798479050446429,5457.3741666666665
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Fear,74346.546606,200.39500432884097,371,0.42857142857142855,7.883738622641509,25119.228652291105
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Greed,129217.68646,52.82816290269828,2446,0.3336058871627146,5.666614961161079,18714.972399836468
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Fear,-19126.158064,-16.54511943252595,1156,0.3555363321799308,5.029654918685121,15510.035536332178
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Greed,79023.471493,33.857528488860325,2334,0.34361610968294776,4.785479415595544,14903.147896315337
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Neutral,45514.323221,35.64160001644479,1277,0.4267815191855912,5.446726810493344,17120.53617071261
0x513b8629fe877bb581bf244e326a047b249c4ff1,Extreme Fear,-71121.820704,-205.5543950982659,346,0.30346820809248554,1.5536643872832367,9644.015086705202
0x513b8629fe877bb581bf244e326a047b249c4ff1,Extreme Greed,0.0,0.0,223,0.0,0.05551682560538117,3261.5788789237668
0x513b8629fe877bb581bf244e326a047b249c4ff1,Fear,367166.216924,61.388767250292595,5981,0.3705066042467815,6.285766332553084,37633.67887644207
0x513b8629fe877bb581bf244e326a047b249c4ff1,Greed,163047.664946,51.450825164405174,3169,0.376459450930893,7.8475441811296935,38497.727718523194
0x513b8629fe877bb581bf244e326a047b249c4ff1,Neutral,381330.49405,151.50198412793006,2517,0.5542312276519666,5.328032902892332,27702.0510727056
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Extreme Fear,2037.258612,14.24656372027972,143,0.3076923076923077,0.2959335008594406,1024.4990209790208
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Extreme Greed,73192.077142,428.02384293567246,171,0.8947368421052632,0.14665574748538013,619.9583040935672
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Fear,2040.359057,5.683451412256267,359,0.2200557103064067,0.2351645568788301,849.9995264623956
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Greed,30203.401038,125.32531551037344,241,0.5062240663900415,0.11580234340248963,551.6468879668049
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Neutral,1258.120923,20.624933163934426,61,0.3770491803278688,0.11650840672131148,613.8450819672132
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Extreme Fear,33980.0,66.75834970530452,509,0.6129666011787819,1.3065948768762279,6242.196836935167
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Extreme Greed,0.0,0.0,98,0.0,1.8481629081632653,18481.63244897959
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Fear,-58219.752261,-187.20177575884244,311,0.1607717041800643,0.40961785839228293,4277.756430868168
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Greed,453595.31817600003,764.9162195210793,593,0.31703204047217537,0.9566094030354131,8515.413979763913
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Neutral,0.0,0.0,79,0.0,0.13417694936708863,1341.7722784810126
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Extreme Fear,198900.56161,900.0025412217195,221,0.42081447963800905,0.2539083936651584,2613.952760180995
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Extreme Greed,573.585288,2.526807436123348,227,0.004405286343612335,0.22457385092511015,2593.1634801762116
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Fear,144514.3446,335.30010348027844,431,0.6450116009280742,0.14530222969837586,1465.772505800464
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Greed,21077.717,43.192043032786884,488,0.12295081967213115,0.20127352868852458,2096.6078483606557
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Neutral,-4526.698469,-79.41576261403509,57,0.0,0.23789617543859648,2478.0915789473684
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Fear,25672.838055,81.24315840189874,316,0.9145569620253164,0.6651762721518988,3415.97420886076
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,210726.855269,55.00570484703732,3831,0.8546071521795876,0.18861397825110937,3175.167734273036
